시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A1,20,85.0,100.0,100.0,100.0
FFE809A7,20,95.0,100.0,100.0,100.0
FFE809A8,20,100.0,100.0,100.0,100.0
FFE809A9,20,100.0,100.0,100.0,100.0
FFE809CA,20,95.0,100.0,100.0,100.0
FFE809DD,20,90.0,100.0,100.0,100.0
FFE809E2,20,100.0,100.0,100.0,100.0
FFE809F0,20,90.0,100.0,100.0,100.0
FFE809FB,20,100.0,100.0,100.0,100.0
FFE809FF,20,100.0,100.0,100.0,100.0
FFE80A17,20,100.0,100.0,100.0,100.0
FFE80A32,20,100.0,100.0,100.0,100.0
FFE80A39,20,100.0,100.0,100.0,100.0
FFE80A3B,20,90.0,100.0,100.0,100.0
FFE80A41,20,100.0,100.0,100.0,100.0
FFE80A50,20,100.0,100.0,100.0,100.0
FFE80A52,20,100.0,100.0,100.0,100.0
FFE80A6C,20,100.0,100.0,100.0,100.0
FFE80A7E,20,100.0,100.0,100.0,100.0
FFE80A81,20,80.0,100.0,100.0,100.0
FFE80A8E,20,100.0,100.0,100.0,100.0
FFE80A90,20,90.0,100.0,100.0,100.0
FFE80A92,20,90.0,100.0,100.0,100.0
FFE80A9C,20,90.0,100.0,100.0,100.0
FFE80AA3,20,100.0,100.0,100.0,100.0
FFE80AA4,20,100.0,100.0,100.0,100.0
FFE80AA8,20,95.0,100.0,100.0,100.0
FFE80AAE,20,100.0,100.0,100.0,100.0
FFE80AC4,20,100.0,100.0,100.0,100.0
FFE80AD2,20,95.0,100.0,100.0,100.0
FFE80ADB,20,90.0,100.0,100.0,100.0
FFE80AE2,20,100.0,100.0,100.0,100.0
FFE80AE3,20,85.0,100.0,100.0,100.0
FFE80AF4,20,90.0,100.0,100.0,100.0
FFE80AFF,20,95.0,100.0,100.0,100.0
FFE80B02,20,90.0,100.0,100.0,100.0
FFE80B04,20,100.0,100.0,100.0,100.0
FFE80B16,20,100.0,100.0,100.0,100.0
FFE80B22,20,75.0,100.0,100.0,100.0
FFE80B30,20,95.0,100.0,100.0,100.0
FFE80B40,20,100.0,100.0,100.0,100.0
FFE80B54,20,100.0,100.0,100.0,100.0
FFE80B5E,20,100.0,100.0,100.0,100.0
FFE80B60,20,90.0,100.0,100.0,100.0
FFE80B63,20,100.0,100.0,100.0,100.0
FFE80B77,20,80.0,100.0,100.0,100.0
FFE80B7D,20,100.0,100.0,100.0,100.0
FFE80BA0,20,95.0,100.0,100.0,100.0
FFE80BAB,20,100.0,100.0,100.0,100.0
FFE80BBA,20,100.0,100.0,100.0,100.0
FFE80BBD,20,95.0,100.0,100.0,100.0
FFE80BBF,20,90.0,100.0,100.0,100.0
FFE80BC7,20,100.0,100.0,100.0,100.0
FFE80BCD,20,85.0,100.0,100.0,100.0
FFE80BD2,20,90.0,100.0,100.0,100.0
FFE80BD7,20,90.0,100.0,100.0,100.0
FFE80BDF,20,95.0,100.0,100.0,100.0
FFE80BF3,20,85.0,100.0,100.0,100.0
FFE80BFD,20,100.0,100.0,100.0,100.0
FFE80C05,20,100.0,100.0,100.0,100.0
FFE80C1B,20,85.0,100.0,100.0,100.0
FFE80C25,20,100.0,100.0,100.0,100.0
FFE80C35,20,100.0,100.0,100.0,100.0
FFE80C37,20,100.0,100.0,100.0,100.0
FFE80C3E,20,100.0,100.0,100.0,100.0
FFE80C40,20,90.0,100.0,100.0,100.0
FFE80C42,20,100.0,100.0,100.0,100.0
FFE80C4C,20,100.0,100.0,100.0,100.0
FFE80C4D,20,100.0,100.0,100.0,100.0
FFE80C52,20,100.0,100.0,100.0,100.0
FFE80C53,20,80.0,100.0,100.0,100.0
FFE80C5C,20,95.0,100.0,100.0,100.0
FFE80C76,20,100.0,100.0,100.0,100.0
FFE80C79,20,90.0,100.0,100.0,100.0
FFE80C7F,20,85.0,100.0,100.0,100.0
FFE80C87,20,95.0,100.0,100.0,100.0
FFE80C8A,20,100.0,100.0,100.0,100.0
FFE80CA3,20,95.0,100.0,100.0,100.0
FFE80CAE,20,100.0,100.0,100.0,100.0
FFE80CB3,20,90.0,100.0,100.0,100.0
FFE80CBB,20,100.0,100.0,100.0,100.0
FFE80CD0,20,100.0,100.0,100.0,100.0
FFE80CD5,20,100.0,100.0,100.0,100.0
FFE80CE8,20,100.0,100.0,100.0,100.0
FFE80CEA,20,80.0,100.0,100.0,100.0
FFE80CF6,20,100.0,100.0,100.0,100.0
FFE80D14,20,90.0,100.0,100.0,100.0
FFE80D1A,20,100.0,100.0,100.0,100.0
FFE80D2F,20,100.0,100.0,100.0,100.0
FFE80D3B,20,90.0,100.0,100.0,100.0
FFE80D3D,20,85.0,100.0,100.0,100.0
FFE80D45,20,90.0,100.0,100.0,100.0
FFE80D4B,20,80.0,100.0,100.0,100.0
FFE80D51,20,95.0,100.0,100.0,100.0
FFE80D54,20,90.0,100.0,100.0,100.0
FFE80D58,20,100.0,100.0,100.0,100.0
FFE80D5D,20,100.0,100.0,100.0,100.0
FFE80D64,20,85.0,100.0,100.0,100.0
FFE80D97,20,100.0,100.0,100.0,100.0
FFE80D9E,20,100.0,100.0,100.0,100.0
FFE80DA4,20,95.0,100.0,100.0,100.0
FFE80DBC,20,80.0,100.0,100.0,100.0
FFE80DBE,20,100.0,100.0,100.0,100.0
FFE80DC3,20,100.0,100.0,100.0,100.0
FFE80DC7,20,100.0,100.0,100.0,100.0
FFE80DCD,20,85.0,100.0,100.0,100.0
FFE80DE1,20,100.0,100.0,100.0,100.0
FFE80DF7,20,95.0,100.0,100.0,100.0
FFE80DF8,20,100.0,100.0,100.0,100.0
FFE80DF9,20,100.0,100.0,100.0,100.0
FFE80DFC,20,100.0,100.0,100.0,100.0
FFE80E08,20,90.0,100.0,100.0,100.0
FFE80E11,20,100.0,100.0,100.0,100.0
FFE80E14,20,90.0,100.0,100.0,100.0
FFE80E1A,20,90.0,100.0,100.0,100.0
FFE80E24,20,100.0,100.0,100.0,100.0
FFE80E29,20,95.0,100.0,100.0,100.0
FFE80E40,20,80.0,100.0,100.0,100.0
FFE80E5E,20,90.0,100.0,100.0,100.0
FFE80E9A,20,95.0,100.0,100.0,100.0
FFE80EB9,20,85.0,100.0,100.0,100.0
FFE80EC6,20,95.0,100.0,95.0,100.0
FFE80ED3,20,90.0,100.0,95.0,100.0
FFE80ED9,20,100.0,100.0,100.0,100.0
FFE80EDA,20,90.0,100.0,100.0,100.0
FFE80F0A,20,85.0,100.0,100.0,100.0
FFE80F26,20,100.0,100.0,100.0,100.0
FFE80F28,20,65.0,100.0,100.0,100.0
FFE80F64,20,90.0,100.0,100.0,100.0
FFE80F73,20,75.0,100.0,100.0,100.0
FFE80F7F,20,100.0,100.0,100.0,100.0
FFE80F85,20,100.0,100.0,100.0,100.0
FFE80FDD,20,100.0,100.0,100.0,100.0
FFE80FE5,20,90.0,100.0,100.0,100.0
FFE80FFF,20,65.0,100.0,100.0,100.0
FFE8102F,20,95.0,100.0,100.0,100.0
FFE81065,20,90.0,100.0,100.0,100.0
FFE8106C,20,75.0,100.0,100.0,100.0
FFE810CC,20,90.0,100.0,100.0,100.0
FFE810FE,20,100.0,100.0,100.0,100.0
FFE8110F,20,85.0,100.0,100.0,100.0
FFE81116,20,80.0,100.0,100.0,100.0
FFE81145,20,100.0,100.0,100.0,100.0
FFE81182,20,85.0,100.0,100.0,100.0
FFE811A2,20,80.0,100.0,100.0,100.0
FFE811AD,20,85.0,100.0,100.0,100.0
FFE811B5,20,90.0,100.0,100.0,100.0
FFE811D0,20,100.0,100.0,100.0,100.0
FFE811D2,20,100.0,100.0,100.0,100.0
FFE811E4,20,80.0,100.0,100.0,100.0
