시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
70CE07CA,80,97.5,100.0,100.0,98.75
FFE809BF,80,91.25,100.0,100.0,100.0
FFE809C8,80,100.0,100.0,100.0,100.0
FFE809D3,80,96.25,100.0,100.0,100.0
FFE809D5,80,91.25,100.0,100.0,98.75
FFE809E9,80,96.25,100.0,100.0,100.0
FFE809F4,80,93.75,100.0,100.0,100.0
FFE809F7,80,97.5,100.0,100.0,100.0
FFE80A09,80,98.75,100.0,100.0,100.0
FFE80A0D,80,91.25,100.0,100.0,100.0
FFE80A16,80,92.5,100.0,100.0,100.0
FFE80A1B,80,97.5,100.0,100.0,100.0
FFE80A2B,80,88.75,100.0,100.0,100.0
FFE80A2C,80,93.75,100.0,100.0,97.5
FFE80A2D,80,96.25,100.0,100.0,100.0
FFE80A39,80,97.5,100.0,100.0,100.0
FFE80A3B,80,97.5,100.0,100.0,97.5
FFE80A63,80,93.75,100.0,100.0,100.0
FFE80A64,80,92.5,100.0,100.0,100.0
FFE80A6B,80,93.75,100.0,100.0,100.0
FFE80A70,80,92.5,100.0,100.0,100.0
FFE80A8B,80,100.0,100.0,100.0,100.0
FFE80A8D,80,88.75,100.0,100.0,100.0
FFE80AA5,80,96.25,100.0,100.0,98.75
FFE80AAD,80,98.75,100.0,100.0,100.0
FFE80AAE,80,100.0,100.0,100.0,100.0
FFE80ABB,80,95.0,100.0,100.0,88.75
FFE80AC0,80,93.75,100.0,100.0,97.5
FFE80AC4,80,96.25,100.0,100.0,100.0
FFE80ACB,80,100.0,100.0,100.0,100.0
FFE80ACD,80,98.75,100.0,100.0,100.0
FFE80ADB,80,93.75,100.0,100.0,93.75
FFE80AE6,80,92.5,100.0,100.0,100.0
FFE80AE7,80,91.25,100.0,100.0,100.0
FFE80AEE,80,87.5,100.0,100.0,98.75
FFE80B04,80,93.75,100.0,100.0,97.5
FFE80B09,80,97.5,100.0,100.0,97.5
FFE80B15,80,88.75,100.0,100.0,100.0
FFE80B17,80,91.25,100.0,100.0,100.0
FFE80B2A,80,93.75,100.0,100.0,100.0
FFE80B30,80,100.0,100.0,100.0,100.0
FFE80B3B,80,93.75,100.0,100.0,100.0
FFE80B43,80,96.25,100.0,100.0,100.0
FFE80B4D,80,90.0,100.0,100.0,100.0
FFE80B63,80,93.75,100.0,100.0,100.0
FFE80B6C,80,98.75,100.0,100.0,100.0
FFE80B71,80,93.75,100.0,100.0,100.0
FFE80B73,80,95.0,100.0,100.0,100.0
FFE80B77,80,93.75,100.0,100.0,100.0
FFE80B7B,80,95.0,100.0,100.0,100.0
FFE80B8C,80,91.25,100.0,100.0,100.0
FFE80BA0,80,97.5,100.0,100.0,98.75
FFE80BA5,80,95.0,100.0,100.0,96.25
FFE80BAB,80,90.0,100.0,100.0,100.0
FFE80BB3,80,100.0,100.0,100.0,97.5
FFE80BBF,80,93.75,100.0,100.0,97.5
FFE80BC7,80,97.5,100.0,100.0,100.0
FFE80BC8,80,93.75,100.0,100.0,100.0
FFE80BDE,80,90.0,100.0,100.0,100.0
FFE80BE8,80,91.25,100.0,100.0,100.0
FFE80BEE,80,92.5,100.0,100.0,100.0
FFE80BFC,80,96.25,100.0,100.0,100.0
FFE80BFE,80,95.0,100.0,100.0,97.5
FFE80C00,80,95.0,100.0,100.0,100.0
FFE80C22,80,93.75,100.0,100.0,100.0
FFE80C2A,80,92.5,100.0,100.0,100.0
FFE80C39,80,86.25,100.0,100.0,100.0
FFE80C3A,80,96.25,100.0,100.0,100.0
FFE80C40,80,95.0,100.0,100.0,100.0
FFE80C44,80,98.75,100.0,100.0,100.0
FFE80C47,80,93.75,100.0,100.0,100.0
FFE80C4C,80,95.0,100.0,100.0,100.0
FFE80C6D,80,95.0,100.0,100.0,100.0
FFE80C73,80,95.0,100.0,100.0,100.0
FFE80C7F,80,97.5,100.0,100.0,100.0
FFE80C83,80,91.25,100.0,100.0,98.75
FFE80C84,80,92.5,100.0,100.0,100.0
FFE80C98,80,97.5,100.0,100.0,100.0
FFE80C9F,80,96.25,100.0,100.0,90.0
FFE80CAF,80,98.75,100.0,100.0,100.0
FFE80CB2,80,95.0,100.0,100.0,100.0
FFE80CB8,80,88.75,100.0,100.0,100.0
FFE80CBD,80,91.25,100.0,100.0,100.0
FFE80CD7,80,88.75,100.0,100.0,100.0
FFE80CDB,80,93.75,100.0,100.0,100.0
FFE80CE7,80,95.0,100.0,100.0,100.0
FFE80CF1,80,83.75,100.0,100.0,100.0
FFE80CFC,80,97.5,100.0,100.0,98.75
FFE80D03,80,98.75,100.0,100.0,100.0
FFE80D31,80,98.75,100.0,100.0,100.0
FFE80D34,80,93.75,100.0,100.0,100.0
FFE80D4B,80,92.5,100.0,100.0,100.0
FFE80D4C,80,93.75,100.0,100.0,100.0
FFE80D4E,80,91.25,100.0,100.0,98.75
FFE80D6C,80,95.0,100.0,100.0,100.0
FFE80D7A,80,96.25,100.0,100.0,98.75
FFE80D8A,80,95.0,100.0,100.0,100.0
FFE80D92,80,92.5,100.0,100.0,100.0
FFE80DA2,80,91.25,100.0,100.0,100.0
FFE80DB3,80,92.5,100.0,100.0,98.75
FFE80DC0,80,92.5,100.0,100.0,100.0
FFE80DC8,80,97.5,100.0,100.0,100.0
FFE80DDC,80,98.75,100.0,100.0,100.0
FFE80DE9,80,95.0,100.0,100.0,96.25
FFE80DFC,80,93.75,100.0,100.0,98.75
FFE80E00,80,97.5,100.0,100.0,98.75
FFE80E0D,80,100.0,100.0,100.0,100.0
FFE80E18,80,97.5,100.0,100.0,100.0
