시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A9,80,90.0,100.0,100.0,100.0
FFE809BB,80,95.0,100.0,100.0,100.0
FFE809D6,80,93.75,100.0,100.0,100.0
FFE809F7,80,98.75,100.0,100.0,97.5
FFE809FA,80,95.0,100.0,100.0,100.0
FFE80A0E,80,100.0,100.0,100.0,100.0
FFE80A1E,80,100.0,100.0,100.0,100.0
FFE80A2A,80,92.5,100.0,100.0,98.75
FFE80A2D,80,97.5,100.0,100.0,100.0
FFE80A30,80,85.0,100.0,100.0,100.0
FFE80A31,80,96.25,100.0,100.0,100.0
FFE80A48,80,95.0,100.0,100.0,100.0
FFE80A57,80,93.75,100.0,100.0,100.0
FFE80A5E,80,97.5,100.0,100.0,100.0
FFE80A65,80,91.25,100.0,100.0,100.0
FFE80A70,80,96.25,100.0,100.0,100.0
FFE80A74,80,98.75,100.0,100.0,100.0
FFE80A7E,80,95.0,100.0,100.0,98.75
FFE80A90,80,93.75,100.0,100.0,100.0
FFE80AC3,80,90.0,100.0,100.0,100.0
FFE80AD1,80,93.75,100.0,100.0,100.0
FFE80ADC,80,96.25,100.0,100.0,100.0
FFE80ADF,80,96.25,100.0,100.0,100.0
FFE80AE1,80,93.75,100.0,100.0,100.0
FFE80AE8,80,98.75,100.0,100.0,100.0
FFE80AEB,80,93.75,100.0,100.0,100.0
FFE80B18,80,92.5,100.0,100.0,100.0
FFE80B1B,80,93.75,100.0,100.0,100.0
FFE80B2D,80,100.0,100.0,100.0,100.0
FFE80B42,80,95.0,100.0,100.0,100.0
FFE80B43,80,97.5,100.0,100.0,100.0
FFE80B47,80,95.0,100.0,100.0,100.0
FFE80B49,80,95.0,100.0,100.0,100.0
FFE80B51,80,91.25,100.0,100.0,100.0
FFE80B6B,80,92.5,100.0,100.0,100.0
FFE80B73,80,90.0,100.0,100.0,100.0
FFE80B97,80,96.25,100.0,100.0,100.0
FFE80BA8,80,88.75,100.0,100.0,100.0
FFE80BAC,80,97.5,100.0,100.0,100.0
FFE80BB2,80,97.5,100.0,100.0,100.0
FFE80BB7,80,100.0,100.0,100.0,100.0
FFE80BC3,80,92.5,100.0,100.0,100.0
FFE80BC5,80,96.25,100.0,100.0,100.0
FFE80BC7,80,93.75,100.0,100.0,100.0
FFE80BDE,80,100.0,100.0,100.0,100.0
FFE80BE2,80,98.75,100.0,98.75,100.0
FFE80BE6,80,96.25,100.0,100.0,100.0
FFE80C07,80,98.75,100.0,100.0,100.0
FFE80C0B,80,98.75,100.0,98.75,100.0
FFE80C19,80,96.25,100.0,100.0,100.0
FFE80C25,80,93.75,100.0,100.0,100.0
FFE80C27,80,96.25,100.0,100.0,100.0
FFE80C2C,80,95.0,100.0,100.0,100.0
FFE80C2D,80,90.0,100.0,100.0,100.0
FFE80C30,80,96.25,100.0,100.0,100.0
FFE80C31,80,95.0,100.0,100.0,100.0
FFE80C33,80,95.0,100.0,100.0,100.0
FFE80C52,80,96.25,100.0,100.0,100.0
FFE80C66,80,97.5,100.0,100.0,100.0
FFE80C76,80,93.75,100.0,100.0,100.0
FFE80C80,80,98.75,100.0,100.0,100.0
FFE80C8B,80,96.25,100.0,100.0,100.0
FFE80C8E,80,98.75,100.0,100.0,100.0
FFE80C99,80,93.75,100.0,100.0,100.0
FFE80CA2,80,96.25,100.0,100.0,100.0
FFE80CB4,80,92.5,100.0,100.0,100.0
FFE80CB8,80,96.25,100.0,100.0,100.0
FFE80CBB,80,98.75,100.0,100.0,100.0
FFE80CBF,80,92.5,100.0,100.0,100.0
FFE80CC9,80,97.5,100.0,100.0,96.25
FFE80CCB,80,95.0,100.0,100.0,100.0
FFE80CD4,80,96.25,100.0,100.0,100.0
FFE80CED,80,100.0,100.0,100.0,100.0
FFE80CFA,80,98.75,100.0,100.0,100.0
FFE80D18,80,87.5,100.0,100.0,100.0
FFE80D19,80,97.5,100.0,100.0,98.75
FFE80D24,80,91.25,100.0,100.0,100.0
FFE80D3F,80,96.25,100.0,100.0,100.0
FFE80D4D,80,98.75,100.0,100.0,100.0
FFE80D52,80,95.0,100.0,100.0,100.0
FFE80D55,80,95.0,100.0,100.0,100.0
FFE80D5E,80,92.5,100.0,100.0,100.0
FFE80D77,80,97.5,100.0,100.0,100.0
FFE80D7C,80,97.5,100.0,100.0,100.0
FFE80D94,80,90.0,100.0,100.0,100.0
FFE80D97,80,93.75,100.0,100.0,100.0
FFE80DA0,80,100.0,100.0,100.0,100.0
FFE80DA1,80,93.75,100.0,100.0,100.0
FFE80DB4,80,91.25,100.0,100.0,100.0
FFE80DCF,80,97.5,100.0,100.0,100.0
FFE80DEA,80,92.5,100.0,100.0,100.0
FFE80DF6,80,100.0,100.0,100.0,100.0
FFE80DF8,80,93.75,100.0,100.0,100.0
FFE80DF9,80,97.5,100.0,100.0,100.0
FFE80DFA,80,95.0,100.0,100.0,100.0
FFE80DFB,80,95.0,100.0,100.0,100.0
FFE80E00,80,97.5,100.0,100.0,100.0
FFE80E01,80,93.75,100.0,100.0,100.0
FFE80E04,80,93.75,100.0,100.0,100.0
FFE80E08,80,95.0,100.0,100.0,100.0
FFE80E0B,80,95.0,100.0,100.0,100.0
FFE80E13,80,93.75,100.0,100.0,100.0
FFE80E16,80,87.5,100.0,100.0,100.0
FFE80E20,80,88.75,100.0,100.0,100.0
FFE80E2B,80,88.75,100.0,100.0,100.0
FFE80E2C,80,96.25,100.0,100.0,100.0
FFE80E2F,80,96.25,100.0,100.0,100.0
FFE80E40,80,85.0,100.0,100.0,100.0
FFE80E5A,80,86.25,100.0,100.0,100.0
FFE80E8A,80,88.75,100.0,100.0,100.0
FFE80EA4,80,95.0,100.0,100.0,100.0
FFE80EA8,80,95.0,100.0,100.0,100.0
FFE80EAB,80,95.0,100.0,98.75,100.0
FFE80EC0,80,82.5,100.0,100.0,100.0
FFE80ECB,80,88.75,100.0,100.0,100.0
FFE80ECE,80,86.25,100.0,100.0,100.0
FFE80ED3,80,86.25,100.0,100.0,98.75
FFE80F1D,80,100.0,100.0,100.0,100.0
FFE80F43,80,85.0,100.0,100.0,100.0
FFE80F63,80,98.75,100.0,100.0,100.0
FFE80F70,80,93.75,100.0,100.0,100.0
FFE80FB4,80,95.0,100.0,100.0,100.0
FFE80FBA,80,87.5,100.0,100.0,100.0
FFE80FC8,80,95.0,100.0,100.0,100.0
FFE80FD3,80,91.25,100.0,100.0,100.0
FFE80FEB,80,91.25,100.0,100.0,100.0
FFE80FF2,80,97.5,100.0,100.0,100.0
FFE8100C,80,96.25,100.0,100.0,100.0
FFE81028,80,92.5,100.0,100.0,100.0
FFE81036,80,87.5,100.0,100.0,100.0
FFE8103A,80,88.75,100.0,100.0,100.0
FFE8104D,80,92.5,100.0,100.0,100.0
FFE81052,80,92.5,100.0,100.0,100.0
FFE8105F,80,95.0,100.0,100.0,100.0
FFE81060,80,77.5,100.0,100.0,97.5
FFE81062,80,87.5,100.0,100.0,100.0
FFE8106B,80,96.25,100.0,100.0,96.25
FFE81075,80,92.5,100.0,98.75,97.5
FFE81081,80,93.75,100.0,100.0,100.0
FFE810CD,80,95.0,100.0,98.75,100.0
FFE810CE,80,95.0,100.0,100.0,100.0
FFE810EE,80,93.75,100.0,100.0,100.0
FFE810F2,80,86.25,100.0,98.75,100.0
FFE81110,80,95.0,100.0,100.0,100.0
FFE81151,80,87.5,100.0,100.0,100.0
FFE81174,80,81.25,100.0,100.0,100.0
FFE81195,80,96.25,100.0,100.0,100.0
FFE81208,80,96.25,100.0,100.0,100.0
FFE81209,80,95.0,100.0,100.0,100.0
FFE8120E,80,88.75,100.0,100.0,100.0
