시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A9,80,95.0,100.0,100.0,98.75
FFE809AA,80,90.0,100.0,100.0,100.0
FFE809AC,80,93.75,100.0,100.0,100.0
FFE809B8,80,93.75,100.0,100.0,100.0
FFE809BD,80,95.0,100.0,100.0,100.0
FFE809CB,80,95.0,100.0,100.0,95.0
FFE809DB,80,88.75,100.0,100.0,100.0
FFE809F2,80,95.0,100.0,100.0,98.75
FFE809F9,80,96.25,100.0,100.0,100.0
FFE80A02,80,93.75,100.0,100.0,100.0
FFE80A2B,80,91.25,100.0,100.0,100.0
FFE80A45,80,97.5,100.0,100.0,100.0
FFE80A4B,80,100.0,100.0,100.0,100.0
FFE80A54,80,88.75,100.0,100.0,100.0
FFE80A62,80,96.25,100.0,100.0,100.0
FFE80A65,80,92.5,100.0,100.0,100.0
FFE80A6F,80,90.0,100.0,100.0,100.0
FFE80A76,80,88.75,100.0,100.0,98.75
FFE80A7E,80,95.0,100.0,100.0,98.75
FFE80A8E,80,97.5,100.0,100.0,97.5
FFE80A97,80,96.25,100.0,100.0,87.5
FFE80A9F,80,93.75,100.0,100.0,100.0
FFE80AA1,80,95.0,100.0,100.0,100.0
FFE80AA8,80,96.25,100.0,100.0,100.0
FFE80AB5,80,97.5,100.0,100.0,100.0
FFE80AD1,80,100.0,100.0,100.0,100.0
FFE80AD7,80,93.75,100.0,100.0,100.0
FFE80AE0,80,97.5,100.0,100.0,97.5
FFE80AF2,80,93.75,100.0,100.0,100.0
FFE80AF5,80,97.5,100.0,100.0,100.0
FFE80B08,80,93.75,100.0,100.0,100.0
FFE80B1B,80,98.75,100.0,100.0,100.0
FFE80B23,80,92.5,100.0,100.0,96.25
FFE80B3B,80,92.5,100.0,100.0,100.0
FFE80B40,80,95.0,100.0,100.0,100.0
FFE80B44,80,97.5,100.0,100.0,100.0
FFE80B4E,80,92.5,100.0,100.0,100.0
FFE80B4F,80,97.5,100.0,100.0,100.0
FFE80B5E,80,93.75,100.0,100.0,100.0
FFE80B64,80,91.25,100.0,100.0,100.0
FFE80B69,80,96.25,100.0,100.0,100.0
FFE80B70,80,96.25,100.0,100.0,100.0
FFE80B71,80,98.75,100.0,100.0,100.0
FFE80B7D,80,91.25,100.0,100.0,100.0
FFE80B7E,80,91.25,100.0,100.0,100.0
FFE80B7F,80,95.0,100.0,100.0,95.0
FFE80B96,80,95.0,100.0,100.0,100.0
FFE80BB0,80,97.5,100.0,100.0,100.0
FFE80BBC,80,95.0,100.0,100.0,100.0
FFE80BC6,80,95.0,100.0,100.0,100.0
