ISSUE_DATE,VEHICLE_CLASS,VEHICLE_TYPE,X,Y,HEADING,SPEED,HAZARDLIGHTS_FLAG,HARDBRAKING_FLAG,LIGHTSCHANGE_FLAG,HARDDECELERATION_FLAG,UTURN_FLAG,LIGHTS_STATUS,CURRENT_LANE,scene,Turn,Change,Speed,Hazard
2022-09-01 08:54:26,9220.0,4.0,127.393805,36.410704,,,,,,,,,,scene_0,,,,False
2022-09-01 08:54:27,9220.0,4.0,127.3935095,36.4107765,,,,,,,,,,scene_0,,,,False
2022-09-01 08:54:28,9220.0,4.0,127.393214,36.410849,,,,,,,,,,scene_0,,,,False
2022-09-01 08:54:29,9220.0,4.0,127.392864,36.410941,,,,,,,,,,scene_0,,,,False
2022-09-01 08:54:50,9220.0,4.0,127.386428,36.412362,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:51,9220.0,4.0,127.386173,36.41237,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:52,9220.0,4.0,127.385797,36.412374,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:53,9220.0,4.0,127.38543,36.412362,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:54,9220.0,4.0,127.385189,36.412347,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:55,9220.0,4.0,127.384953,36.412329,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:56,9220.0,4.0,127.384609,36.412295,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:57,9220.0,4.0,127.3843315,36.412255,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:58,9220.0,4.0,127.384054,36.412215,,,,,,,,,,scene_3,,,,False
2022-09-01 08:54:59,9220.0,4.0,127.38384,36.412176,,,,,,,,,,scene_3,,,,False
2022-09-01 08:55:00,9220.0,4.0,127.383524,36.412108,,,,,,,,,,scene_4,,,,False
2022-09-01 08:55:01,9220.0,4.0,127.383316,36.412056,,,,,,,,,,scene_4,,,,False
2022-09-01 08:55:02,9220.0,4.0,127.383005,36.411969,,,,,,,,,,scene_4,,,,False
2022-09-01 08:55:03,9220.0,4.0,127.382799,36.411907,,,,,,,,,,scene_4,,,,False
2022-09-01 08:55:04,9220.0,4.0,127.38249,36.411804,,,,,,,,,,scene_4,,,,False
2022-09-01 08:55:05,9220.0,4.0,127.38218,36.41169,,,,,,,,,,scene_4,,,,False
2022-09-01 08:55:06,9220.0,4.0,127.381971,36.411609,-43.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_4,,,,False
2022-09-01 08:55:07,9220.0,4.0,127.381761,36.411522,-45.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_4,,,,False
2022-09-01 08:55:08,9220.0,4.0,127.381441,36.411383,-48.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_4,,,,False
2022-09-01 08:55:09,9220.0,4.0,127.381226,36.411281,-50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_4,,,,False
2022-09-01 08:55:10,9220.0,4.0,127.380907,36.411116,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:11,9220.0,4.0,127.38059,36.410936,-37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:12,9220.0,4.0,127.380379,36.410809,-36.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:13,9220.0,4.0,127.380169,36.41068,-34.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:14,9220.0,4.0,127.379854,36.410483,-33.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:15,9220.0,4.0,127.379542,36.410283,-33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:16,9220.0,4.0,127.3792805,36.410114,-31.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:17,9220.0,4.0,127.379019,36.409945,-29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:18,9220.0,4.0,127.378809,36.409812,-27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:19,9220.0,4.0,127.378599,36.409678,-25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_5,Left,,,False
2022-09-01 08:55:20,9220.0,4.0,127.378283,36.409477,-23.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,Left,,,False
2022-09-01 08:55:21,9220.0,4.0,127.378072,36.409344,-20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,Left,,,False
2022-09-01 08:55:22,9220.0,4.0,127.37775,36.40915,-16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,,,,False
2022-09-01 08:55:23,9220.0,4.0,127.377531,36.409026,-12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,,,,False
2022-09-01 08:55:24,9220.0,4.0,127.377192,36.408853,-7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,,,,False
2022-09-01 08:55:25,9220.0,4.0,127.376842,36.408693,-3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,,,Acceleration,False
2022-09-01 08:55:26,9220.0,4.0,127.376665,36.408618,-1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,,,,False
2022-09-01 08:55:27,9220.0,4.0,127.376305,36.408475,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,,,,False
2022-09-01 08:55:28,9220.0,4.0,127.376061,36.40839,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,,,,False
2022-09-01 08:55:29,9220.0,4.0,127.375691,36.408272,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_6,,,,False
2022-09-01 08:55:30,9220.0,4.0,127.375441,36.408202,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_7,,,,False
2022-09-01 08:55:31,9220.0,4.0,127.374996,36.408092,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_7,,,,False
2022-09-01 08:55:32,9220.0,4.0,127.374737,36.408037,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_7,Right,,,False
2022-09-01 08:55:33,9220.0,4.0,127.374413,36.407975,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_7,Right,,,False
2022-09-01 08:55:34,9220.0,4.0,127.374085,36.407922,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_7,Right,,,False
2022-09-01 08:55:35,9220.0,4.0,127.373759,36.407874,28.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_7,Right,,,False
