시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809AF,20,100.0,100.0,100.0,100.0
FFE809C9,20,85.0,100.0,100.0,100.0
FFE809D7,20,100.0,100.0,100.0,100.0
FFE809DC,20,85.0,100.0,100.0,100.0
FFE809E2,20,100.0,100.0,100.0,100.0
FFE809ED,20,80.0,100.0,100.0,100.0
FFE809F1,20,100.0,100.0,100.0,100.0
FFE80A00,20,90.0,100.0,100.0,100.0
FFE80A03,20,100.0,100.0,100.0,100.0
FFE80A0D,20,75.0,100.0,100.0,100.0
FFE80A15,20,90.0,100.0,100.0,100.0
FFE80A1A,20,100.0,100.0,100.0,100.0
FFE80A40,20,90.0,100.0,100.0,100.0
FFE80A53,20,100.0,100.0,100.0,100.0
FFE80A57,20,80.0,100.0,100.0,100.0
FFE80A65,20,95.0,100.0,100.0,100.0
FFE80A67,20,95.0,100.0,100.0,100.0
FFE80A7E,20,100.0,100.0,100.0,100.0
FFE80A82,20,100.0,100.0,100.0,100.0
FFE80A8E,20,95.0,100.0,100.0,100.0
FFE80A90,20,95.0,100.0,100.0,100.0
FFE80A9B,20,85.0,100.0,100.0,100.0
FFE80AAE,20,90.0,100.0,100.0,100.0
FFE80AC4,20,85.0,100.0,100.0,100.0
FFE80AC6,20,90.0,100.0,100.0,100.0
FFE80AD5,20,85.0,100.0,100.0,100.0
FFE80ADE,20,90.0,100.0,100.0,100.0
FFE80AEC,20,85.0,100.0,100.0,100.0
FFE80AF3,20,100.0,100.0,100.0,100.0
FFE80B06,20,100.0,100.0,100.0,100.0
FFE80B0A,20,100.0,100.0,100.0,100.0
FFE80B0B,20,95.0,100.0,100.0,100.0
FFE80B15,20,100.0,100.0,100.0,100.0
FFE80B1E,20,95.0,100.0,100.0,100.0
FFE80B20,20,100.0,100.0,100.0,100.0
FFE80B34,20,85.0,100.0,100.0,100.0
FFE80B42,20,90.0,100.0,100.0,100.0
FFE80B46,20,100.0,100.0,100.0,100.0
FFE80B4C,20,100.0,100.0,100.0,100.0
FFE80B65,20,70.0,100.0,100.0,100.0
FFE80B6F,20,95.0,100.0,100.0,100.0
FFE80B70,20,95.0,100.0,100.0,100.0
FFE80B78,20,100.0,100.0,100.0,100.0
FFE80B7D,20,85.0,100.0,100.0,100.0
FFE80B80,20,90.0,100.0,100.0,100.0
FFE80BA5,20,95.0,100.0,100.0,100.0
FFE80BB3,20,100.0,100.0,100.0,100.0
FFE80BC4,20,95.0,100.0,100.0,100.0
FFE80BCD,20,100.0,100.0,100.0,100.0
FFE80BCE,20,85.0,100.0,100.0,100.0
FFE80BD3,20,95.0,100.0,100.0,100.0
FFE80BD7,20,100.0,100.0,100.0,100.0
FFE80BD9,20,80.0,100.0,100.0,100.0
FFE80BDC,20,90.0,100.0,100.0,100.0
FFE80BDF,20,95.0,100.0,100.0,100.0
FFE80BE1,20,95.0,100.0,100.0,100.0
FFE80BE8,20,90.0,100.0,100.0,100.0
FFE80BED,20,100.0,100.0,100.0,100.0
FFE80BF3,20,100.0,100.0,100.0,100.0
FFE80BFD,20,95.0,100.0,100.0,100.0
FFE80C02,20,90.0,100.0,100.0,100.0
FFE80C0E,20,95.0,100.0,100.0,100.0
FFE80C0F,20,95.0,100.0,100.0,100.0
FFE80C20,20,95.0,100.0,100.0,100.0
FFE80C2D,20,100.0,100.0,100.0,100.0
FFE80C32,20,95.0,100.0,100.0,100.0
FFE80C39,20,85.0,100.0,100.0,100.0
FFE80C42,20,95.0,100.0,100.0,100.0
FFE80C5A,20,95.0,100.0,100.0,100.0
FFE80C6B,20,100.0,100.0,100.0,100.0
FFE80C93,20,90.0,100.0,100.0,100.0
FFE80CA9,20,95.0,100.0,100.0,100.0
FFE80CBB,20,100.0,100.0,100.0,100.0
FFE80CBE,20,100.0,100.0,100.0,100.0
FFE80CCA,20,100.0,100.0,100.0,100.0
FFE80CD3,20,100.0,100.0,100.0,100.0
FFE80CDB,20,95.0,100.0,100.0,100.0
FFE80CFB,20,90.0,100.0,100.0,100.0
FFE80D02,20,90.0,100.0,100.0,100.0
FFE80D0A,20,100.0,100.0,100.0,100.0
FFE80D19,20,95.0,100.0,100.0,100.0
FFE80D1F,20,100.0,100.0,100.0,100.0
FFE80D2B,20,95.0,100.0,100.0,100.0
FFE80D30,20,95.0,100.0,100.0,100.0
FFE80D3F,20,95.0,100.0,100.0,100.0
FFE80D4F,20,85.0,100.0,100.0,100.0
FFE80D67,20,100.0,100.0,100.0,100.0
FFE80D68,20,85.0,100.0,100.0,100.0
FFE80D6F,20,100.0,100.0,100.0,100.0
FFE80D72,20,100.0,100.0,100.0,100.0
FFE80D7A,20,95.0,100.0,100.0,100.0
FFE80D81,20,90.0,100.0,100.0,100.0
FFE80D89,20,95.0,100.0,100.0,100.0
FFE80D92,20,95.0,100.0,100.0,100.0
FFE80DAC,20,90.0,100.0,100.0,100.0
FFE80DAE,20,95.0,100.0,100.0,100.0
FFE80DB4,20,100.0,100.0,100.0,100.0
FFE80DC2,20,95.0,100.0,100.0,100.0
FFE80DCD,20,100.0,100.0,100.0,100.0
FFE80DCF,20,95.0,100.0,100.0,100.0
FFE80DD7,20,95.0,100.0,100.0,100.0
FFE80DDB,20,100.0,100.0,100.0,100.0
FFE80DDC,20,90.0,100.0,100.0,100.0
FFE80E06,20,95.0,100.0,100.0,100.0
FFE80E09,20,85.0,100.0,100.0,100.0
FFE80E11,20,80.0,100.0,100.0,100.0
FFE80E16,20,95.0,100.0,100.0,100.0
FFE80E1D,20,100.0,100.0,100.0,100.0
FFE80E2F,20,95.0,100.0,100.0,100.0
FFE80E49,20,90.0,100.0,100.0,100.0
FFE80E57,20,95.0,100.0,100.0,100.0
FFE80E78,20,95.0,100.0,95.0,100.0
FFE80E85,20,85.0,100.0,100.0,100.0
FFE80EB1,20,85.0,100.0,100.0,100.0
FFE80EB3,20,85.0,100.0,100.0,100.0
FFE80ECA,20,100.0,100.0,100.0,100.0
FFE80ECB,20,95.0,100.0,100.0,100.0
FFE80ED4,20,95.0,100.0,100.0,100.0
FFE80EF3,20,90.0,100.0,100.0,100.0
FFE80F0C,20,95.0,100.0,100.0,100.0
FFE80F3D,20,100.0,100.0,100.0,100.0
FFE80F3E,20,100.0,100.0,100.0,100.0
FFE80F57,20,95.0,100.0,100.0,100.0
FFE80F5D,20,100.0,100.0,100.0,100.0
FFE80F63,20,80.0,100.0,100.0,100.0
FFE80F67,20,90.0,100.0,100.0,100.0
FFE80F98,20,90.0,100.0,100.0,100.0
FFE80FC7,20,80.0,100.0,100.0,100.0
FFE80FCB,20,95.0,100.0,100.0,100.0
FFE80FDB,20,90.0,100.0,100.0,100.0
FFE80FDD,20,95.0,100.0,100.0,100.0
FFE80FE8,20,100.0,100.0,100.0,100.0
FFE80FFE,20,90.0,100.0,100.0,100.0
FFE81006,20,90.0,100.0,100.0,100.0
FFE8100F,20,85.0,100.0,100.0,100.0
FFE81011,20,95.0,100.0,100.0,100.0
FFE8101D,20,80.0,100.0,100.0,100.0
FFE81034,20,90.0,100.0,100.0,100.0
FFE81054,20,85.0,100.0,100.0,100.0
FFE810D0,20,95.0,100.0,100.0,100.0
FFE810E1,20,100.0,100.0,100.0,100.0
FFE8110A,20,100.0,100.0,100.0,100.0
FFE8111C,20,95.0,100.0,100.0,100.0
FFE81130,20,85.0,100.0,100.0,100.0
FFE81195,20,95.0,100.0,100.0,100.0
FFE811A2,20,100.0,100.0,100.0,100.0
FFE811BB,20,95.0,100.0,100.0,100.0
FFE81207,20,95.0,100.0,100.0,100.0
FFE81209,20,95.0,100.0,100.0,100.0
FFE81217,20,95.0,100.0,100.0,100.0
