시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
70CE06E7,80,98.75,100.0,100.0,98.75
FFE809A8,80,92.5,100.0,100.0,100.0
FFE809AD,80,91.25,100.0,100.0,100.0
FFE809C6,80,96.25,100.0,100.0,100.0
FFE809D3,80,91.25,100.0,100.0,100.0
FFE809D7,80,95.0,100.0,100.0,100.0
FFE809DC,80,93.75,100.0,100.0,100.0
FFE809E5,80,90.0,100.0,100.0,97.5
FFE809EB,80,95.0,100.0,100.0,100.0
FFE80A0A,80,100.0,100.0,100.0,100.0
FFE80A11,80,96.25,100.0,100.0,100.0
FFE80A19,80,93.75,100.0,100.0,100.0
FFE80A1D,80,98.75,100.0,100.0,95.0
FFE80A26,80,95.0,100.0,100.0,100.0
FFE80A36,80,95.0,100.0,100.0,100.0
FFE80A38,80,96.25,100.0,100.0,100.0
FFE80A43,80,96.25,100.0,100.0,100.0
FFE80A44,80,92.5,100.0,100.0,100.0
FFE80A52,80,93.75,100.0,100.0,100.0
FFE80A5D,80,98.75,100.0,100.0,100.0
FFE80A80,80,92.5,100.0,98.75,100.0
FFE80A82,80,92.5,100.0,100.0,96.25
FFE80A87,80,96.25,100.0,100.0,100.0
FFE80AAA,80,100.0,100.0,100.0,100.0
FFE80AAE,80,92.5,100.0,100.0,100.0
FFE80AB4,80,95.0,100.0,100.0,100.0
FFE80ABC,80,90.0,100.0,100.0,100.0
FFE80ADB,80,92.5,100.0,100.0,100.0
FFE80ADC,80,93.75,100.0,100.0,100.0
FFE80ADF,80,100.0,100.0,100.0,100.0
FFE80AFE,80,92.5,100.0,100.0,100.0
FFE80B0C,80,92.5,100.0,100.0,100.0
FFE80B0F,80,90.0,100.0,100.0,100.0
FFE80B22,80,92.5,100.0,100.0,100.0
FFE80B24,80,98.75,100.0,100.0,100.0
FFE80B2E,80,92.5,100.0,100.0,100.0
FFE80B43,80,98.75,100.0,100.0,100.0
FFE80B48,80,93.75,100.0,100.0,100.0
FFE80B49,80,88.75,100.0,100.0,97.5
FFE80B4C,80,97.5,100.0,100.0,100.0
FFE80B56,80,100.0,100.0,100.0,96.25
FFE80B5E,80,98.75,100.0,100.0,100.0
FFE80B65,80,97.5,100.0,100.0,100.0
FFE80B67,80,92.5,100.0,100.0,100.0
FFE80B71,80,96.25,100.0,100.0,100.0
FFE80B72,80,92.5,100.0,100.0,100.0
FFE80B78,80,93.75,100.0,100.0,100.0
FFE80B97,80,96.25,100.0,100.0,100.0
FFE80BB4,80,90.0,100.0,100.0,100.0
FFE80BBA,80,98.75,100.0,100.0,88.75
FFE80BCA,80,96.25,100.0,100.0,100.0
FFE80BE8,80,93.75,100.0,100.0,96.25
FFE80BE9,80,96.25,100.0,100.0,100.0
FFE80C09,80,95.0,100.0,100.0,100.0
FFE80C17,80,98.75,100.0,100.0,100.0
FFE80C2B,80,93.75,100.0,100.0,100.0
FFE80C38,80,91.25,100.0,100.0,100.0
FFE80C40,80,97.5,100.0,100.0,100.0
FFE80C51,80,98.75,100.0,100.0,100.0
FFE80C59,80,91.25,100.0,100.0,100.0
FFE80C6F,80,95.0,100.0,100.0,100.0
FFE80C70,80,93.75,100.0,100.0,100.0
FFE80C8A,80,96.25,100.0,100.0,100.0
FFE80C9A,80,98.75,100.0,100.0,100.0
FFE80C9B,80,91.25,100.0,100.0,100.0
FFE80CB9,80,91.25,100.0,98.75,100.0
FFE80CCB,80,98.75,100.0,100.0,100.0
FFE80CD1,80,95.0,100.0,100.0,100.0
FFE80CD3,80,97.5,100.0,100.0,100.0
FFE80CD8,80,83.75,100.0,100.0,100.0
FFE80CFB,80,88.75,100.0,100.0,100.0
FFE80D0D,80,83.75,100.0,100.0,100.0
FFE80D18,80,91.25,100.0,100.0,100.0
FFE80D3B,80,90.0,100.0,100.0,100.0
FFE80D43,80,96.25,100.0,100.0,100.0
