시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809B1,20,100.0,100.0,100.0,100.0
FFE809B7,20,85.0,100.0,100.0,100.0
FFE809BB,20,100.0,100.0,100.0,100.0
FFE809C2,20,100.0,100.0,100.0,100.0
FFE809C6,20,90.0,100.0,100.0,100.0
FFE809CD,20,95.0,100.0,100.0,100.0
FFE809D2,20,95.0,100.0,100.0,100.0
FFE809D3,20,85.0,100.0,100.0,100.0
FFE809E7,20,100.0,100.0,100.0,100.0
FFE809F3,20,100.0,100.0,100.0,100.0
FFE809FD,20,100.0,100.0,100.0,100.0
FFE809FF,20,100.0,100.0,100.0,100.0
FFE80A10,20,95.0,100.0,100.0,100.0
FFE80A12,20,100.0,100.0,100.0,100.0
FFE80A16,20,80.0,100.0,100.0,100.0
FFE80A20,20,100.0,100.0,100.0,100.0
FFE80A23,20,100.0,100.0,100.0,100.0
FFE80A29,20,85.0,100.0,100.0,100.0
FFE80A2D,20,100.0,100.0,100.0,100.0
FFE80A2F,20,95.0,100.0,100.0,100.0
FFE80A32,20,95.0,100.0,100.0,100.0
FFE80A3F,20,100.0,100.0,100.0,100.0
FFE80A40,20,100.0,100.0,100.0,100.0
FFE80A41,20,100.0,100.0,100.0,100.0
FFE80A46,20,100.0,100.0,100.0,100.0
FFE80A4E,20,95.0,100.0,100.0,100.0
FFE80A58,20,95.0,100.0,100.0,100.0
FFE80A65,20,95.0,100.0,100.0,100.0
FFE80A7D,20,90.0,100.0,100.0,100.0
FFE80A81,20,75.0,100.0,100.0,100.0
FFE80A87,20,100.0,100.0,100.0,100.0
FFE80A91,20,95.0,100.0,100.0,100.0
FFE80AA0,20,100.0,100.0,100.0,100.0
FFE80AA6,20,90.0,100.0,100.0,100.0
FFE80AA8,20,100.0,100.0,100.0,100.0
FFE80AC0,20,95.0,100.0,100.0,100.0
FFE80AC7,20,100.0,100.0,100.0,100.0
FFE80AC8,20,85.0,100.0,100.0,100.0
FFE80AC9,20,85.0,100.0,100.0,100.0
FFE80ACA,20,95.0,100.0,100.0,100.0
FFE80ADB,20,90.0,100.0,100.0,100.0
FFE80ADC,20,95.0,100.0,100.0,100.0
FFE80AE9,20,100.0,100.0,100.0,100.0
FFE80B06,20,100.0,100.0,100.0,100.0
FFE80B13,20,100.0,100.0,100.0,100.0
