loaded 150 scenarios
['data/labeled/220801/C/A/FFE809B4', 'data/labeled/220801/C/A/FFE809C3', 'data/labeled/220801/C/A/FFE809C8', 'data/labeled/220801/C/A/FFE809E9', 'data/labeled/220801/C/A/FFE809ED'] ...
클립 FFE80B29의 길이: 80초, 	'Turn'의 False 비율: 92.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B30의 길이: 80초, 	'Turn'의 False 비율: 100.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B33의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B34의 길이: 80초, 	'Turn'의 False 비율: 91.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B47의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B4F의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B50의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B5A의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B5D의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B5E의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B63의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B72의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B76의 길이: 80초, 	'Turn'의 False 비율: 88.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B8F의 길이: 80초, 	'Turn'의 False 비율: 91.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B99의 길이: 80초, 	'Turn'의 False 비율: 90.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B9B의 길이: 80초, 	'Turn'의 False 비율: 92.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80B9F의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 98.75%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BB2의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BB3의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BB5의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BC0의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BC7의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BDD의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 76.25%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BE2의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BF0의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BF6의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80BF8의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C00의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C02의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C0D의 길이: 80초, 	'Turn'의 False 비율: 98.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C23의 길이: 80초, 	'Turn'의 False 비율: 91.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C26의 길이: 80초, 	'Turn'의 False 비율: 95.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C2D의 길이: 80초, 	'Turn'의 False 비율: 88.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C30의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C3C의 길이: 80초, 	'Turn'의 False 비율: 100.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C3D의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C53의 길이: 80초, 	'Turn'의 False 비율: 93.75%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C67의 길이: 80초, 	'Turn'의 False 비율: 96.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C75의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C7D의 길이: 80초, 	'Turn'의 False 비율: 97.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80C7E의 길이: 80초, 	'Turn'의 False 비율: 92.50%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
