시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809AC,20,100.0,100.0,100.0,100.0
FFE809AD,20,100.0,100.0,100.0,100.0
FFE809B7,20,90.0,100.0,100.0,100.0
FFE809BF,20,100.0,100.0,100.0,100.0
FFE809CF,20,95.0,100.0,100.0,100.0
FFE809D2,20,95.0,100.0,100.0,100.0
FFE809E0,20,100.0,100.0,100.0,100.0
FFE809E4,20,100.0,100.0,100.0,100.0
FFE809F4,20,95.0,100.0,100.0,100.0
FFE809F6,20,95.0,100.0,100.0,100.0
FFE809FE,20,100.0,100.0,100.0,100.0
FFE80A00,20,100.0,100.0,100.0,100.0
FFE80A11,20,95.0,100.0,100.0,100.0
FFE80A12,20,100.0,100.0,100.0,100.0
FFE80A16,20,100.0,100.0,100.0,100.0
FFE80A20,20,100.0,100.0,100.0,100.0
FFE80A2C,20,100.0,100.0,100.0,100.0
FFE80A74,20,65.0,100.0,100.0,100.0
FFE80A84,20,95.0,100.0,100.0,100.0
FFE80A94,20,100.0,100.0,100.0,100.0
FFE80A9B,20,90.0,100.0,100.0,100.0
FFE80AA6,20,100.0,100.0,100.0,100.0
FFE80ABB,20,100.0,100.0,100.0,100.0
FFE80ABE,20,95.0,100.0,100.0,100.0
FFE80AC3,20,85.0,100.0,100.0,100.0
FFE80AC4,20,100.0,100.0,100.0,100.0
FFE80AC7,20,95.0,100.0,100.0,100.0
FFE80ADE,20,95.0,100.0,100.0,100.0
FFE80AE1,20,85.0,100.0,100.0,100.0
FFE80B0C,20,100.0,100.0,100.0,100.0
FFE80B15,20,95.0,100.0,100.0,100.0
FFE80B1A,20,95.0,100.0,100.0,100.0
FFE80B1D,20,100.0,100.0,100.0,100.0
FFE80B24,20,100.0,100.0,100.0,100.0
FFE80B2E,20,90.0,100.0,100.0,100.0
FFE80B33,20,100.0,100.0,100.0,100.0
FFE80B3F,20,95.0,100.0,100.0,100.0
FFE80B48,20,100.0,100.0,100.0,100.0
FFE80B49,20,100.0,100.0,100.0,100.0
FFE80B4F,20,100.0,100.0,100.0,100.0
FFE80B52,20,90.0,100.0,100.0,100.0
FFE80B5B,20,95.0,100.0,100.0,100.0
FFE80B5E,20,100.0,100.0,100.0,100.0
FFE80B61,20,100.0,100.0,100.0,100.0
FFE80B65,20,85.0,100.0,100.0,100.0
FFE80B72,20,100.0,100.0,100.0,100.0
FFE80B77,20,100.0,100.0,100.0,100.0
FFE80B7F,20,100.0,100.0,100.0,100.0
FFE80B84,20,100.0,100.0,100.0,100.0
FFE80B86,20,100.0,100.0,100.0,100.0
FFE80B95,20,95.0,100.0,100.0,100.0
FFE80BA7,20,95.0,100.0,100.0,100.0
FFE80BAC,20,85.0,100.0,100.0,100.0
FFE80BB4,20,95.0,100.0,100.0,100.0
FFE80BBA,20,85.0,100.0,100.0,100.0
FFE80BD0,20,100.0,100.0,100.0,100.0
FFE80BD2,20,100.0,100.0,100.0,100.0
FFE80BD4,20,100.0,100.0,100.0,100.0
FFE80BD9,20,100.0,100.0,100.0,100.0
FFE80BE6,20,100.0,100.0,100.0,100.0
FFE80BEA,20,100.0,100.0,100.0,100.0
FFE80BED,20,100.0,100.0,100.0,100.0
FFE80BEE,20,100.0,100.0,100.0,100.0
FFE80C03,20,95.0,100.0,100.0,100.0
FFE80C08,20,90.0,100.0,100.0,100.0
FFE80C0C,20,100.0,100.0,100.0,100.0
FFE80C11,20,100.0,100.0,100.0,100.0
FFE80C23,20,95.0,100.0,100.0,100.0
FFE80C2B,20,100.0,100.0,100.0,100.0
FFE80C2C,20,75.0,100.0,100.0,100.0
FFE80C2D,20,100.0,100.0,100.0,100.0
FFE80C3B,20,100.0,100.0,100.0,100.0
FFE80C4D,20,95.0,100.0,100.0,100.0
FFE80C5E,20,85.0,100.0,100.0,100.0
FFE80C6E,20,100.0,100.0,100.0,100.0
FFE80C70,20,95.0,100.0,100.0,100.0
FFE80C74,20,100.0,100.0,100.0,100.0
FFE80C7E,20,100.0,100.0,100.0,100.0
FFE80C7F,20,100.0,100.0,100.0,100.0
FFE80C80,20,100.0,100.0,100.0,100.0
FFE80C89,20,100.0,100.0,100.0,100.0
FFE80C8F,20,100.0,100.0,100.0,100.0
FFE80C93,20,100.0,100.0,100.0,100.0
FFE80C9A,20,90.0,100.0,100.0,100.0
FFE80CAB,20,100.0,100.0,100.0,100.0
FFE80CAF,20,100.0,100.0,100.0,100.0
FFE80CB2,20,100.0,100.0,100.0,100.0
FFE80CB4,20,85.0,100.0,100.0,100.0
FFE80CB9,20,100.0,100.0,100.0,100.0
FFE80CBE,20,100.0,100.0,100.0,100.0
FFE80CD0,20,95.0,100.0,100.0,100.0
FFE80CED,20,100.0,100.0,100.0,100.0
FFE80CF1,20,100.0,100.0,100.0,100.0
FFE80CFA,20,100.0,100.0,100.0,100.0
FFE80D04,20,100.0,100.0,100.0,100.0
FFE80D0D,20,100.0,100.0,100.0,100.0
FFE80D14,20,95.0,100.0,100.0,100.0
FFE80D2B,20,90.0,100.0,100.0,100.0
FFE80D2E,20,95.0,100.0,100.0,100.0
FFE80D3A,20,100.0,100.0,100.0,100.0
FFE80D3D,20,100.0,100.0,100.0,100.0
FFE80D52,20,100.0,100.0,100.0,100.0
FFE80D58,20,95.0,100.0,100.0,100.0
FFE80D5B,20,100.0,100.0,100.0,100.0
FFE80D5F,20,100.0,100.0,100.0,100.0
FFE80D64,20,95.0,100.0,100.0,100.0
FFE80D67,20,95.0,100.0,100.0,100.0
FFE80D74,20,90.0,100.0,100.0,100.0
FFE80D7C,20,100.0,100.0,100.0,100.0
