시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A3,80,100.0,100.0,100.0,100.0
FFE809A6,80,96.25,100.0,100.0,100.0
FFE809B4,80,95.0,100.0,100.0,100.0
FFE809C9,80,88.75,100.0,100.0,100.0
FFE809CF,80,95.0,100.0,100.0,100.0
FFE809D6,80,93.75,100.0,100.0,100.0
FFE80A04,80,97.5,100.0,100.0,97.5
FFE80A08,80,93.75,100.0,100.0,100.0
FFE80A1E,80,97.5,100.0,100.0,100.0
FFE80A20,80,93.75,100.0,100.0,100.0
FFE80A40,80,93.75,100.0,100.0,95.0
FFE80A51,80,92.5,100.0,100.0,100.0
FFE80A5A,80,93.75,100.0,100.0,100.0
FFE80A5D,80,93.75,100.0,100.0,100.0
FFE80A68,80,97.5,100.0,100.0,100.0
FFE80A78,80,92.5,100.0,100.0,100.0
FFE80A7A,80,97.5,100.0,100.0,100.0
FFE80A8D,80,86.25,100.0,100.0,100.0
FFE80AA6,80,97.5,100.0,100.0,100.0
FFE80AB0,80,86.25,100.0,100.0,100.0
FFE80AB5,80,92.5,100.0,100.0,98.75
FFE80AD8,80,98.75,100.0,100.0,97.5
FFE80ADC,80,93.75,100.0,100.0,95.0
FFE80B08,80,93.75,100.0,100.0,98.75
FFE80B17,80,93.75,100.0,100.0,98.75
FFE80B1E,80,97.5,100.0,100.0,100.0
FFE80B28,80,96.25,100.0,100.0,100.0
FFE80B2D,80,93.75,100.0,100.0,100.0
FFE80B2E,80,93.75,100.0,100.0,98.75
FFE80B32,80,98.75,100.0,100.0,100.0
FFE80B36,80,92.5,100.0,100.0,100.0
FFE80B39,80,90.0,100.0,100.0,97.5
FFE80B44,80,92.5,100.0,100.0,100.0
FFE80B55,80,95.0,100.0,100.0,100.0
FFE80B56,80,96.25,100.0,100.0,100.0
FFE80B57,80,97.5,100.0,100.0,98.75
FFE80B5F,80,96.25,100.0,100.0,100.0
FFE80B60,80,92.5,100.0,100.0,100.0
FFE80B70,80,90.0,100.0,100.0,98.75
FFE80B81,80,100.0,100.0,100.0,97.5
FFE80B8E,80,93.75,100.0,100.0,97.5
FFE80B9A,80,91.25,100.0,100.0,96.25
FFE80BA5,80,95.0,100.0,100.0,100.0
FFE80BAC,80,93.75,100.0,100.0,100.0
FFE80BAE,80,92.5,100.0,100.0,100.0
FFE80BBF,80,92.5,100.0,100.0,100.0
FFE80BCE,80,95.0,100.0,100.0,100.0
FFE80BD4,80,95.0,100.0,100.0,98.75
FFE80BD6,80,92.5,100.0,100.0,100.0
FFE80BD8,80,96.25,100.0,100.0,100.0
FFE80BE0,80,97.5,100.0,100.0,100.0
FFE80BE9,80,97.5,100.0,100.0,100.0
FFE80BEE,80,92.5,100.0,100.0,100.0
FFE80BF0,80,98.75,100.0,100.0,100.0
FFE80BF1,80,98.75,100.0,100.0,98.75
FFE80BF5,80,95.0,100.0,100.0,100.0
FFE80BF8,80,91.25,100.0,100.0,100.0
FFE80C25,80,95.0,100.0,100.0,92.5
FFE80C26,80,97.5,100.0,100.0,100.0
FFE80C2A,80,90.0,100.0,100.0,97.5
FFE80C35,80,98.75,100.0,100.0,100.0
FFE80C37,80,93.75,100.0,100.0,100.0
FFE80C3C,80,100.0,100.0,100.0,100.0
FFE80C47,80,95.0,100.0,100.0,100.0
FFE80C58,80,97.5,100.0,100.0,100.0
FFE80C59,80,91.25,100.0,100.0,100.0
FFE80C78,80,96.25,100.0,100.0,100.0
FFE80C89,80,97.5,100.0,100.0,97.5
FFE80C99,80,98.75,100.0,100.0,100.0
FFE80CA3,80,97.5,100.0,100.0,100.0
FFE80CAC,80,92.5,100.0,100.0,100.0
FFE80CAF,80,92.5,100.0,100.0,100.0
FFE80CC4,80,97.5,100.0,100.0,100.0
FFE80CCB,80,98.75,100.0,100.0,100.0
FFE80CFA,80,96.25,100.0,100.0,100.0
FFE80CFF,80,93.75,100.0,100.0,98.75
FFE80D0C,80,92.5,100.0,97.5,100.0
FFE80D0E,80,93.75,100.0,100.0,100.0
FFE80D24,80,95.0,100.0,100.0,100.0
FFE80D31,80,95.0,100.0,100.0,98.75
FFE80D48,80,98.75,100.0,100.0,100.0
FFE80D5A,80,95.0,100.0,100.0,100.0
FFE80D6B,80,87.5,100.0,100.0,100.0
FFE80D80,80,92.5,100.0,100.0,100.0
FFE80D82,80,97.5,100.0,100.0,100.0
FFE80D96,80,96.25,100.0,100.0,100.0
FFE80DA0,80,95.0,100.0,100.0,100.0
FFE80DAB,80,97.5,100.0,100.0,100.0
FFE80DB1,80,96.25,100.0,100.0,100.0
FFE80DC3,80,93.75,100.0,100.0,100.0
FFE80DDF,80,96.25,100.0,100.0,100.0
FFE80DF3,80,96.25,100.0,100.0,100.0
FFE80DF8,80,92.5,100.0,100.0,100.0
FFE80DF9,80,95.0,100.0,100.0,97.5
FFE80E03,80,96.25,100.0,100.0,100.0
FFE80E07,80,95.0,100.0,100.0,85.0
FFE80E08,80,95.0,100.0,100.0,100.0
FFE80E12,80,98.75,100.0,100.0,87.5
FFE80E14,80,93.75,100.0,100.0,100.0
FFE80E19,80,97.5,100.0,100.0,100.0
FFE80E1D,80,95.0,100.0,100.0,98.75
FFE80E26,80,100.0,100.0,100.0,100.0
FFE80E2D,80,97.5,100.0,100.0,98.75
