시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A5,80,100.0,100.0,100.0,100.0
FFE809AD,80,88.75,100.0,100.0,100.0
FFE809AF,80,100.0,100.0,100.0,100.0
FFE809B1,80,98.75,100.0,100.0,96.25
FFE809B8,80,90.0,100.0,100.0,100.0
FFE809D6,80,93.75,100.0,100.0,85.0
FFE809DC,80,88.75,100.0,100.0,100.0
FFE809DF,80,91.25,100.0,100.0,100.0
FFE809F3,80,92.5,100.0,100.0,100.0
FFE80A01,80,96.25,100.0,100.0,100.0
FFE80A0F,80,100.0,100.0,100.0,100.0
FFE80A17,80,96.25,100.0,100.0,98.75
FFE80A18,80,100.0,100.0,100.0,95.0
FFE80A1D,80,92.5,100.0,100.0,100.0
FFE80A25,80,91.25,100.0,100.0,97.5
FFE80A38,80,93.75,100.0,100.0,95.0
FFE80A56,80,98.75,100.0,100.0,100.0
FFE80A64,80,95.0,100.0,100.0,100.0
FFE80A74,80,100.0,100.0,100.0,100.0
FFE80A88,80,92.5,100.0,100.0,100.0
FFE80A99,80,100.0,100.0,100.0,100.0
FFE80AB3,80,95.0,100.0,100.0,100.0
FFE80AC6,80,98.75,100.0,100.0,100.0
FFE80AE2,80,95.0,100.0,100.0,100.0
FFE80AEE,80,95.0,100.0,100.0,100.0
FFE80B01,80,97.5,100.0,100.0,100.0
FFE80B0C,80,95.0,100.0,100.0,100.0
FFE80B20,80,93.75,100.0,100.0,97.5
FFE80B28,80,98.75,100.0,100.0,96.25
FFE80B38,80,91.25,100.0,100.0,100.0
FFE80B48,80,92.5,100.0,100.0,100.0
FFE80B5E,80,93.75,100.0,100.0,98.75
FFE80B6B,80,96.25,100.0,100.0,100.0
FFE80B6F,80,98.75,100.0,100.0,100.0
FFE80B80,80,95.0,100.0,100.0,98.75
FFE80B8F,80,97.5,100.0,100.0,100.0
FFE80BAC,80,93.75,100.0,100.0,100.0
FFE80BC2,80,92.5,100.0,100.0,100.0
FFE80BCB,80,88.75,100.0,100.0,100.0
FFE80BCE,80,93.75,100.0,100.0,98.75
FFE80BE4,80,91.25,100.0,100.0,100.0
FFE80BED,80,96.25,100.0,100.0,100.0
FFE80BF5,80,95.0,100.0,100.0,98.75
FFE80C02,80,98.75,100.0,100.0,100.0
FFE80C03,80,98.75,100.0,100.0,100.0
FFE80C04,80,91.25,100.0,100.0,100.0
FFE80C0A,80,95.0,100.0,100.0,100.0
FFE80C0B,80,96.25,100.0,100.0,100.0
FFE80C0C,80,97.5,100.0,98.75,100.0
FFE80C20,80,92.5,100.0,100.0,100.0
FFE80C27,80,95.0,100.0,100.0,100.0
FFE80C2A,80,91.25,100.0,100.0,100.0
FFE80C2D,80,97.5,100.0,100.0,100.0
FFE80C30,80,93.75,100.0,100.0,100.0
FFE80C31,80,100.0,100.0,100.0,100.0
FFE80C32,80,95.0,100.0,100.0,100.0
FFE80C39,80,90.0,100.0,100.0,100.0
FFE80C45,80,93.75,100.0,100.0,100.0
FFE80C5A,80,95.0,100.0,100.0,100.0
FFE80C5C,80,96.25,100.0,100.0,100.0
FFE80C61,80,95.0,100.0,100.0,97.5
FFE80C69,80,98.75,100.0,100.0,80.0
FFE80C71,80,92.5,100.0,100.0,100.0
FFE80C81,80,96.25,100.0,100.0,100.0
FFE80C8D,80,95.0,100.0,100.0,100.0
FFE80C8E,80,100.0,100.0,100.0,100.0
FFE80C99,80,96.25,100.0,100.0,100.0
FFE80CA9,80,96.25,100.0,100.0,97.5
FFE80CAB,80,96.25,100.0,100.0,100.0
FFE80CC1,80,93.75,100.0,100.0,100.0
FFE80CC4,80,97.5,100.0,100.0,100.0
FFE80CD7,80,92.5,100.0,100.0,100.0
FFE80CE2,80,95.0,100.0,100.0,100.0
FFE80CEC,80,92.5,100.0,100.0,100.0
FFE80CF2,80,95.0,100.0,100.0,100.0
FFE80D0A,80,96.25,100.0,100.0,100.0
FFE80D0D,80,96.25,100.0,100.0,90.0
FFE80D0E,80,97.5,100.0,100.0,100.0
FFE80D10,80,92.5,100.0,100.0,100.0
FFE80D12,80,97.5,100.0,100.0,100.0
FFE80D18,80,91.25,100.0,100.0,100.0
FFE80D19,80,96.25,100.0,100.0,100.0
FFE80D2A,80,97.5,100.0,100.0,100.0
FFE80D2C,80,96.25,100.0,100.0,96.25
FFE80D30,80,91.25,100.0,100.0,100.0
FFE80D3A,80,95.0,100.0,100.0,100.0
FFE80D3B,80,98.75,100.0,100.0,100.0
FFE80D42,80,95.0,100.0,100.0,85.0
