시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A3,80,100.0,100.0,100.0,92.5
FFE809BB,80,91.25,100.0,100.0,100.0
FFE809D0,80,91.25,100.0,100.0,100.0
FFE809DB,80,96.25,100.0,100.0,100.0
FFE809E2,80,96.25,100.0,100.0,100.0
FFE809EA,80,96.25,100.0,100.0,98.75
FFE809F2,80,96.25,100.0,100.0,100.0
FFE809F6,80,91.25,100.0,100.0,100.0
FFE809FE,80,90.0,100.0,100.0,100.0
FFE80A01,80,92.5,100.0,100.0,100.0
FFE80A02,80,95.0,100.0,100.0,100.0
FFE80A16,80,95.0,100.0,100.0,100.0
FFE80A1F,80,92.5,100.0,100.0,100.0
FFE80A2A,80,96.25,100.0,100.0,100.0
FFE80A2F,80,96.25,100.0,100.0,100.0
FFE80A3E,80,96.25,100.0,100.0,100.0
FFE80A56,80,92.5,100.0,100.0,100.0
FFE80A68,80,98.75,100.0,100.0,100.0
FFE80A76,80,92.5,100.0,100.0,96.25
FFE80A7E,80,95.0,100.0,100.0,100.0
FFE80A92,80,100.0,100.0,100.0,100.0
FFE80AA7,80,97.5,100.0,100.0,100.0
FFE80AB0,80,92.5,100.0,100.0,100.0
FFE80AB6,80,100.0,100.0,100.0,100.0
FFE80ABE,80,96.25,100.0,100.0,100.0
FFE80AD3,80,97.5,100.0,100.0,100.0
FFE80AD8,80,93.75,100.0,100.0,100.0
FFE80ADB,80,92.5,100.0,100.0,100.0
FFE80ADC,80,96.25,100.0,100.0,100.0
FFE80AE6,80,97.5,100.0,100.0,98.75
FFE80AE8,80,100.0,100.0,100.0,91.25
FFE80AED,80,96.25,100.0,100.0,100.0
FFE80B04,80,100.0,100.0,100.0,100.0
FFE80B0C,80,95.0,100.0,100.0,100.0
FFE80B18,80,95.0,100.0,100.0,100.0
FFE80B27,80,97.5,100.0,100.0,100.0
FFE80B28,80,98.75,100.0,100.0,100.0
FFE80B2D,80,91.25,100.0,100.0,100.0
FFE80B31,80,97.5,100.0,100.0,100.0
FFE80B34,80,92.5,100.0,100.0,100.0
FFE80B37,80,97.5,100.0,100.0,100.0
FFE80B3B,80,92.5,100.0,100.0,100.0
FFE80B3C,80,96.25,100.0,100.0,100.0
FFE80B44,80,98.75,100.0,100.0,100.0
FFE80B56,80,96.25,100.0,100.0,98.75
FFE80B67,80,93.75,100.0,100.0,100.0
FFE80B6B,80,93.75,100.0,100.0,100.0
FFE80B6D,80,97.5,100.0,100.0,100.0
FFE80B73,80,91.25,100.0,100.0,100.0
FFE80B95,80,98.75,100.0,100.0,100.0
FFE80BB6,80,92.5,100.0,100.0,100.0
FFE80BBC,80,98.75,100.0,100.0,100.0
FFE80BC0,80,95.0,100.0,100.0,100.0
FFE80BC1,80,95.0,100.0,100.0,100.0
FFE80BC2,80,97.5,100.0,100.0,100.0
FFE80BD6,80,96.25,100.0,100.0,100.0
FFE80BE8,80,92.5,100.0,100.0,100.0
FFE80BEB,80,93.75,100.0,100.0,100.0
FFE80BEC,80,97.5,100.0,100.0,100.0
FFE80BFF,80,100.0,100.0,100.0,100.0
FFE80C01,80,96.25,100.0,100.0,100.0
FFE80C06,80,100.0,100.0,100.0,100.0
FFE80C13,80,98.75,100.0,100.0,100.0
FFE80C18,80,95.0,100.0,100.0,100.0
FFE80C1A,80,92.5,100.0,100.0,100.0
FFE80C1F,80,93.75,100.0,100.0,100.0
FFE80C33,80,91.25,100.0,100.0,100.0
FFE80C3F,80,95.0,100.0,100.0,100.0
FFE80C65,80,88.75,100.0,100.0,100.0
FFE80C69,80,86.25,100.0,100.0,97.5
FFE80C6A,80,92.5,100.0,100.0,100.0
FFE80C73,80,92.5,100.0,100.0,100.0
FFE80C81,80,95.0,100.0,100.0,100.0
FFE80C86,80,98.75,100.0,100.0,100.0
FFE80C9A,80,95.0,100.0,100.0,95.0
FFE80C9E,80,93.75,100.0,100.0,100.0
FFE80CA2,80,97.5,100.0,100.0,100.0
FFE80CBA,80,88.75,100.0,100.0,100.0
FFE80CC3,80,95.0,100.0,100.0,100.0
FFE80CC7,80,85.0,100.0,100.0,100.0
FFE80CC9,80,98.75,100.0,100.0,100.0
FFE80CCA,80,96.25,100.0,100.0,100.0
FFE80CE2,80,96.25,100.0,100.0,100.0
FFE80CE3,80,92.5,100.0,100.0,100.0
FFE80CED,80,92.5,100.0,98.75,98.75
FFE80D0E,80,93.75,100.0,100.0,100.0
FFE80D11,80,96.25,100.0,100.0,100.0
FFE80D32,80,91.25,100.0,100.0,100.0
FFE80D42,80,98.75,100.0,100.0,100.0
FFE80D47,80,97.5,100.0,100.0,100.0
FFE80D50,80,96.25,100.0,100.0,97.5
FFE80D52,80,92.5,100.0,100.0,100.0
FFE80D64,80,96.25,100.0,100.0,100.0
FFE80D66,80,91.25,100.0,100.0,100.0
FFE80D67,80,96.25,100.0,100.0,100.0
FFE80D91,80,97.5,100.0,100.0,100.0
FFE80D9B,80,98.75,100.0,100.0,100.0
FFE80D9D,80,97.5,100.0,100.0,100.0
FFE80DAD,80,97.5,100.0,100.0,100.0
FFE80DB5,80,91.25,100.0,100.0,97.5
FFE80DB6,80,95.0,100.0,100.0,100.0
FFE80DBF,80,96.25,100.0,100.0,100.0
