시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809AD,20,100.0,100.0,100.0,100.0
FFE809BF,20,90.0,100.0,100.0,100.0
FFE809CB,20,100.0,100.0,100.0,100.0
FFE809DB,20,100.0,100.0,100.0,100.0
FFE809E5,20,100.0,100.0,100.0,100.0
FFE809EB,20,85.0,100.0,100.0,100.0
FFE809F2,20,95.0,100.0,100.0,100.0
FFE809F3,20,100.0,100.0,100.0,100.0
FFE80A0C,20,100.0,100.0,100.0,100.0
FFE80A1D,20,100.0,100.0,100.0,100.0
FFE80A23,20,75.0,100.0,100.0,100.0
FFE80A2B,20,80.0,100.0,100.0,100.0
FFE80A41,20,95.0,100.0,100.0,100.0
FFE80A4B,20,100.0,100.0,100.0,100.0
FFE80A54,20,100.0,100.0,100.0,100.0
FFE80A67,20,100.0,100.0,100.0,100.0
FFE80A6F,20,90.0,100.0,100.0,100.0
FFE80A76,20,100.0,100.0,100.0,100.0
FFE80A90,20,100.0,100.0,100.0,100.0
FFE80AA3,20,100.0,100.0,100.0,100.0
FFE80AC6,20,90.0,100.0,100.0,100.0
FFE80ACD,20,95.0,100.0,100.0,100.0
FFE80ADF,20,100.0,100.0,100.0,100.0
FFE80AE2,20,100.0,100.0,100.0,100.0
FFE80AE7,20,100.0,100.0,100.0,100.0
FFE80AE8,20,100.0,100.0,100.0,100.0
FFE80AEB,20,100.0,100.0,100.0,100.0
FFE80AEC,20,100.0,100.0,100.0,100.0
FFE80AF3,20,100.0,100.0,100.0,100.0
FFE80AFC,20,85.0,100.0,100.0,100.0
FFE80B00,20,100.0,100.0,100.0,100.0
FFE80B1C,20,95.0,100.0,100.0,100.0
FFE80B26,20,100.0,100.0,100.0,100.0
FFE80B28,20,95.0,100.0,100.0,100.0
FFE80B29,20,70.0,100.0,100.0,100.0
FFE80B2E,20,100.0,100.0,100.0,100.0
FFE80B35,20,100.0,100.0,100.0,100.0
FFE80B37,20,90.0,100.0,100.0,100.0
FFE80B5A,20,100.0,100.0,100.0,100.0
FFE80B5B,20,100.0,100.0,100.0,100.0
FFE80B60,20,95.0,100.0,100.0,100.0
FFE80B63,20,85.0,100.0,100.0,100.0
FFE80B65,20,80.0,100.0,100.0,100.0
FFE80B6C,20,95.0,100.0,100.0,100.0
FFE80B6D,20,100.0,100.0,100.0,100.0
FFE80B75,20,100.0,100.0,100.0,100.0
FFE80B80,20,95.0,100.0,100.0,100.0
FFE80B84,20,90.0,100.0,100.0,100.0
FFE80B8B,20,100.0,100.0,100.0,100.0
FFE80B8C,20,100.0,100.0,100.0,100.0
