클립 FFE809C7의 길이: 459초, 	'Turn'의 False 비율: 96.30%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C8의 길이: 540초, 	'Turn'의 False 비율: 94.26%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C9의 길이: 477초, 	'Turn'의 False 비율: 90.36%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CA의 길이: 642초, 	'Turn'의 False 비율: 95.33%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CB의 길이: 516초, 	'Turn'의 False 비율: 96.71%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.61%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CC의 길이: 782초, 	'Turn'의 False 비율: 93.73%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CD의 길이: 794초, 	'Turn'의 False 비율: 96.22%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CE의 길이: 565초, 	'Turn'의 False 비율: 97.17%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CF의 길이: 574초, 	'Turn'의 False 비율: 95.64%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D0의 길이: 578초, 	'Turn'의 False 비율: 93.43%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D1의 길이: 439초, 	'Turn'의 False 비율: 92.03%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D2의 길이: 439초, 	'Turn'의 False 비율: 96.13%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D3의 길이: 742초, 	'Turn'의 False 비율: 95.01%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D4의 길이: 506초, 	'Turn'의 False 비율: 94.86%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D5의 길이: 562초, 	'Turn'의 False 비율: 93.77%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D6의 길이: 543초, 	'Turn'의 False 비율: 93.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D7의 길이: 640초, 	'Turn'의 False 비율: 97.03%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D8의 길이: 492초, 	'Turn'의 False 비율: 95.53%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809D9의 길이: 386초, 	'Turn'의 False 비율: 95.60%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809DB의 길이: 658초, 	'Turn'의 False 비율: 96.20%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809DC의 길이: 450초, 	'Turn'의 False 비율: 93.56%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809DD의 길이: 774초, 	'Turn'의 False 비율: 95.48%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809DF의 길이: 573초, 	'Turn'의 False 비율: 94.94%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809E0의 길이: 622초, 	'Turn'의 False 비율: 96.30%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809E2의 길이: 441초, 	'Turn'의 False 비율: 97.51%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809E4의 길이: 196초, 	'Turn'의 False 비율: 91.33%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
